Galaxy,Halpha Region,RA,DEC,F_K_s,F_K_s_upper_limit,F_K_s_err,D,D_err,M_K_s,M_K_s_err,log(L_4.5),log(L_4.5)_err,log(M_star),log(M_star)_err,M_B,M_B_err,M_4.5,M_4.5_err,B-V,B-V_err,t_2,t_2_err,t_3,t_3_err,O+/H+,O+/H+_err,O++/H+,O++/H+_err,O/H,O/H_err,12 + log(O/H),12 + log(O/H)_err,N+/H+,N+/H+_err,log(N/O),log(N/O)_err,N/H,N/H_err,[OII]3727,u_[OII]3727,HeI3820,u_HeI3820,H93835,u_H93835,[NeIII]3868,u_[NeIII]3868,HeI+H83889,u_HeI+H83889,[NeIII]+H73968,u_[NeIII]+H73968,HeI4026,u_HeI4026,[SII]4068,u_[SII]4068,Hdelta,u_Hdelta,Hgamma,u_Hgamma,[OIII]4363,u_[OIII]4363,HeI4471,u_HeI4471,[FeIII]4658,u_[FeIII]4658,HeII4686,u_HeII4686,Hbeta,u_Hbeta,[OIII]4959,u_[OIII]4959,[OIII]5007,u_[OIII]5007,[NI]5199,u_[NI]5199,HeI5876,u_HeI5876,[OI]6300,u_[OI]6300,[SIII]6312,u_[SIII]6312,[OI]6363,u_[OI]6363,[NII]6548,u_[NII]6548,Halpha,u_Halpha,[NII]6584,u_[NII]6584,HeI6678,u_HeI6678,[SII]6717,u_[SII]6717,[SII]6731,u_[SII]6731,c(Hbeta),u_c(Hbeta),F(Hbeta),u_F(Hbeta),EW(Hbeta),EW(Halpha)
UGC 5340,A,77.86249999999951,28.82555555555556,,9.36,,12.1,0.7,-18.28,0.29,8.53,0.44,7.97,0.45,-15.83,0.55,-17.99,0.44,0.13,0.08,15200.0,1200.0,19400.0,1500.0,0.47,0.11,1.12,0.16,1.59,0.19,7.2,0.05,0.09,0.02,-1.6,0.08,0.4,0.09,0.58,0.02,,,0.05,0.01,0.16,0.01,0.17,0.01,0.47,0.01,,,,,0.25,0.01,0.47,0.01,0.06,0.01,0.04,0.01,,,0.024,0.002,1.0,0.02,0.64,0.01,1.89,0.04,,,0.09,0.01,,,,,,,,,2.81,0.06,0.016,0.003,0.023,0.007,0.05,0.007,0.05,0.007,0.0,0.01,13.6,0.27,99.2,549.0
UGC 5423,A,110.66249999999953,70.36444444444444,13.6,,2.7,5.27,0.4,-16.89,0.53,8.09,0.85,7.77,0.85,-13.77,0.38,-16.88,0.85,0.48,0.04,13700.0,500.0,15300.0,500.0,2.33,0.27,3.55,0.24,5.88,0.36,7.77,0.03,1.08,0.08,-1.32,0.02,2.82,0.21,2.08,0.04,,,0.12,0.01,0.33,0.01,0.24,0.01,0.28,0.01,,,0.03,0.01,0.26,0.01,0.46,0.01,0.07,0.004,0.033,0.004,,,0.019,0.002,1.0,0.02,1.16,0.02,3.49,0.01,0.012,0.004,0.1,0.01,0.08,0.004,0.021,0.004,0.02,0.004,0.035,0.004,2.86,0.06,0.12,0.004,0.027,0.003,0.31,0.006,0.22,0.006,0.24,0.01,22.8,0.46,94.8,438.0
UGC 5423,B,110.66249999999953,70.36444444444444,13.6,,2.7,5.27,0.4,-16.89,0.53,8.09,0.85,7.77,0.85,-13.77,0.38,-16.88,0.85,0.48,0.04,13400.0,1100.0,14400.0,1200.0,2.17,0.59,4.37,0.87,6.54,1.05,7.82,0.06,0.79,0.16,-1.43,0.05,2.43,0.48,1.78,0.04,,,,,0.28,0.02,0.32,0.02,0.5,0.02,,,,,0.26,0.02,0.46,0.01,0.07,0.01,,,,,,,1.0,0.02,1.24,0.02,3.71,0.07,,,0.11,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.026,0.009,2.86,0.06,0.082,0.009,0.029,0.007,0.153,0.007,0.11,0.007,0.29,0.02,9.38,0.19,51.4,247.0
UGC 5672,,196.2999999999992,22.57111111111111,25.3,,5.3,6.25,,-17.93,0.51,8.56,0.61,8.38,0.61,-14.73,0.52,-18.06,0.61,0.64,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 5692,,204.7874999999992,70.61749999999999,66.4,,8.4,3.8,0.05,-17.89,0.11,8.48,0.35,8.16,0.35,-14.68,0.08,-17.88,0.35,0.68,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC 5797,A,237.8249999999994,1.7180555555555557,11.7,,4.2,6.8,,-17.29,0.51,8.36,0.61,7.75,0.61,-14.56,0.51,-17.57,0.61,0.46,0.08,13200.0,1000.0,14000.0,1000.0,2.04,0.51,7.06,1.29,9.11,1.39,7.96,0.06,0.95,0.19,-1.35,0.06,4.11,0.84,1.59,0.03,,,0.27,0.04,0.52,0.04,0.36,0.03,0.32,0.03,,,,,0.28,0.02,0.47,0.02,0.09,0.02,,,,,0.036,0.006,1.0,0.02,1.85,0.04,5.53,0.11,,,0.09,0.01,0.05,0.02,0.02,0.02,0.05,0.02,0.03,0.01,2.84,0.06,0.09,0.01,,,0.22,0.01,0.15,0.01,0.15,0.01,8.4,0.17,23.8,111.0
UGC 5923,A,274.2249999999991,6.9175,21.8,,2.5,7.2,,-18.06,0.51,8.59,0.61,8.29,0.61,-14.7,0.5,-18.16,0.61,0.66,0.02,14300.0,2500.0,16600.0,3000.0,4.04,2.22,2.08,0.78,6.12,2.35,7.79,0.14,1.97,0.67,-1.3,0.04,3.1,1.23,4.06,0.11,,,0.18,0.03,0.24,0.03,0.33,0.03,0.2,0.03,,,,,0.24,0.02,0.51,0.02,0.06,0.01,,,,,,,1.0,0.02,0.84,0.02,2.48,0.05,,,,,0.06,0.01,0.02,0.01,0.02,0.01,0.07,0.01,2.78,0.07,0.24,0.01,0.03,0.01,0.31,0.01,0.22,0.01,0.51,0.02,20.2,0.4,16.0,75.3
NGC 3738,A,89.28749999999935,54.52472222222222,104.0,,8.0,4.9,0.6,-18.93,0.63,9.06,0.7,8.5,0.7,-16.51,0.61,-19.32,0.7,0.39,,12100.0,900.0,11800.0,800.0,4.98,1.27,6.0,1.21,10.98,1.76,8.04,0.06,2.31,0.36,-1.33,0.02,5.14,0.86,2.91,0.06,,,,,0.28,0.01,0.11,0.01,0.39,0.01,,,,,0.23,0.01,0.47,0.01,0.031,0.006,0.03,0.01,,,,,1.0,0.02,0.98,0.02,2.96,0.06,0.011,0.005,0.12,0.01,0.05,0.01,0.02,0.01,0.02,0.01,0.06,0.01,2.83,0.06,0.19,0.01,0.03,0.01,0.32,0.01,0.23,0.01,0.04,0.01,58.7,1.2,35.2,183.0
NGC 3738,B,89.28749999999935,54.52472222222222,104.0,,8.0,4.9,0.6,-18.93,0.63,9.06,0.7,8.5,0.7,-16.51,0.61,-19.32,0.7,0.39,,12500.0,1400.0,12500.0,1400.0,5.36,2.15,5.39,1.67,10.75,2.72,8.03,0.1,2.23,0.55,-1.37,0.03,4.57,1.21,3.45,0.07,,,,,0.31,0.04,0.32,0.04,0.24,0.04,,,,,0.24,0.02,0.45,0.01,0.04,0.01,,,,,,,1.0,0.02,1.03,0.02,3.11,0.06,,,0.15,0.02,0.06,0.01,,,0.02,0.01,0.06,0.01,2.82,0.06,0.2,0.01,,,0.29,0.01,0.21,0.01,0.19,0.01,24.8,0.5,23.4,121.0
NGC 3741,A,90.36249999999924,45.28638888888889,11.2,,4.5,3.24,0.13,-15.62,0.22,7.61,0.4,7.05,0.4,-13.18,0.22,-15.69,0.4,0.31,0.07,13700.0,500.0,15200.0,400.0,1.81,0.21,2.93,0.2,4.74,0.29,7.68,0.03,0.42,0.04,-1.61,0.03,1.15,0.1,1.6,0.03,,,,,0.24,0.01,0.21,0.01,0.49,0.01,,,,,0.25,0.01,0.46,0.01,0.06,0.01,0.026,0.003,,,,,1.0,0.02,0.94,0.02,2.84,0.06,,,0.097,0.003,0.022,0.002,0.018,0.002,0.004,0.002,0.017,0.003,2.83,0.06,0.051,0.003,0.026,0.002,0.122,0.002,0.088,0.002,0.1,0.01,45.0,0.9,59.9,330.0
